Code,Attributes,Values
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:CriterionTypeCode,CRITERION.EXCLUSION.CONVICTIONS.CORRUPTION
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:ID,c27b7c4e-c837-4529-b867-ed55ce639db5
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:Name,Вчинення коррупційних правопорушень
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:Description,"Відомості про юридичну особу, яка є учасником процедури закупівлі, не внесено до Єдиного державного реєстру осіб, які вчинили корупційні або пов'язані з корупцією правопорушення"
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:???,tenderer
c27b7c4e-c837-4529-b867-ed55ce639db5,cac:Legislation,c27b7c4e-c837-4529-b867-ed55ce639db5.c753a2c5-59e6-4970-b6eb-27224e96bf76-1
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:TenderingCriterionPropertyGroup,c27b7c4e-c837-4529-b867-ed55ce639db5.7c637c0c-7703-4389-ba52-02997a055bd7.1
,,
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:CriterionTypeCode,CRITERION.EXCLUSION.CONVICTIONS.CORRUPTION
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:ID,c27b7c4e-c837-4529-b867-ed55ce639db5
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:Name,Вчинення коррупційних правопорушень
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:Description,"Службову (посадову) особу учасника процедури закупівлі, яку уповноважено учасником представляти його інтереси під час проведення процедури закупівлі, фізичну особу, яка є учасником, не було притягнуто згідно із законом до відповідальності за вчинення корупційного правопорушення або правопорушення, пов'язаного з корупцією"
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:???,tenderer
c27b7c4e-c837-4529-b867-ed55ce639db5,cac:Legislation,c27b7c4e-c837-4529-b867-ed55ce639db5.c753a2c5-59e6-4970-b6eb-27224e96bf76.2
c27b7c4e-c837-4529-b867-ed55ce639db5,cbc:TenderingCriterionPropertyGroup,c27b7c4e-c837-4529-b867-ed55ce639db5.7c637c0c-7703-4389-ba52-02997a055bd7.2
,,
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:CriterionTypeCode,CRITERION.EXCLUSION.CONVICTIONS.PARTICIPATION_IN_CRIMINAL_ORGANISATION
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:ID,005eb9ed-1347-4ca3-bb29-9bc0db64e1ab
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:Name,"Вчинення злочинів, учинених з корисливих мотивів"
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:Description,"Службова (посадова) особа учасника процедури закупівлі, яка підписала тендерну пропозицію (або уповноважена на підписання договору в разі переговорної процедури закупівлі) або Фізична особа, яка є учасником процедури закупівлі, не була засуджена за злочин, учинений з корисливих мотивів (зокрема, пов'язаний з хабарництвом та відмиванням коштів), судимість з якої не знято або не погашено у встановленому законом порядку"
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:???,tenderer
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cac:Legislation,005eb9ed-1347-4ca3-bb29-9bc0db64e1ab.c753a2c5-59e6-4970-b6eb-27224e96bf76.1
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cac:Legislation,005eb9ed-1347-4ca3-bb29-9bc0db64e1ab.c753a2c5-59e6-4970-b6eb-27224e96bf76.2
005eb9ed-1347-4ca3-bb29-9bc0db64e1ab,cbc:TenderingCriterionPropertyGroup,005eb9ed-1347-4ca3-bb29-9bc0db64e1ab.7c637c0c-7703-4389-ba52-02997a055bd7
,,
297d2323-3ede-424e-94bc-a91561e6f320,cbc:CriterionTypeCode,CRITERION.EXCLUSION.CONVICTIONS.FRAUD
297d2323-3ede-424e-94bc-a91561e6f320,cbc:ID,297d2323-3ede-424e-94bc-a91561e6f320
297d2323-3ede-424e-94bc-a91561e6f320,cbc:Name,Вчинення економічних правопорушень
297d2323-3ede-424e-94bc-a91561e6f320,cbc:Description,"Суб'єкт господарювання (учасник) протягом останніх трьох років не притягувався до відповідальності за порушення, передбачене пунктом 4 частини другої статті 6, пунктом 1 статті 50 Закону України \""Про захист економічної конкуренції\"", у вигляді вчинення антиконкурентних узгоджених дій, що стосуються спотворення результатів тендерів"
297d2323-3ede-424e-94bc-a91561e6f320,cbc:???,tenderer
297d2323-3ede-424e-94bc-a91561e6f320,cac:Legislation,297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1
297d2323-3ede-424e-94bc-a91561e6f320,cac:Legislation,297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2
297d2323-3ede-424e-94bc-a91561e6f320,cac:Legislation,297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.3
297d2323-3ede-424e-94bc-a91561e6f320,cbc:TenderingCriterionPropertyGroup,297d2323-3ede-424e-94bc-a91561e6f320.7c637c0c-7703-4389-ba52-02997a055bd7
,,
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:CriterionTypeCode,CRITERION.EXCLUSION.CONVICTIONS.CHILD_LABOUR-HUMAN_TRAFFICKING
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:ID, d789d01a-fe03-4ccd-9898-73f9cfa080d1
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:Name,"Вчинення правопорушень, пов'язаних з використанням дитячої праці чи будь-якими формами торгівлі людьми"
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:Description,"Службова (посадова) особа учасника процедури закупівлі, яку уповноважено учасником представляти його інтереси під час проведення процедури закупівлі, фізичну особу, яка є учасником, не було притягнуто згідно із законом до відповідальності за вчинення правопорушення, пов'язаного з використанням дитячої праці чи будь-якими формами торгівлі людьми"
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:???,tenderer
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cac:Legislation,d789d01a-fe03-4ccd-9898-73f9cfa080d1.c753a2c5-59e6-4970-b6eb-27224e96bf76
 d789d01a-fe03-4ccd-9898-73f9cfa080d1,cbc:TenderingCriterionPropertyGroup,d789d01a-fe03-4ccd-9898-73f9cfa080d1.7c637c0c-7703-4389-ba52-02997a055bd7
