Code,Attributes,Values
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:ID,922-VIII
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:Title,"Закон України ""Про публічні закупівлі"""
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:JurisdictionLevel,NATIONAL_LEGISLATION
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:Description,2020-04-19
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:Article,17.1.4
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.1,cbc:URI,https://zakon.rada.gov.ua/laws/show/922-19
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:ID,2210-III
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:Title,"Закон України ""Про захист економічної конкуренції"
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:JurisdictionLevel,NATIONAL_LEGISLATION
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:Description,2020-02-13
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:Article,6.2.4
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.2,cbc:URI,https://zakon.rada.gov.ua/laws/show/2210-14
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.3,cbc:ID,2210-III
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.3,cbc:Title,"Закон України ""Про захист економічної конкуренції"
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.3,cbc:JurisdictionLevel,NATIONAL_LEGISLATION
297d2323-3ede-424e-94bc-a91561e6f320.c753a2c5-59e6-4970-b6eb-27224e96bf76.3,cbc:Description,2020-02-13
